RNO.PA	TSLA
56.421604	204.699997
56.265972	204.940002
56.397026	203.990005
57.748589	206.899994
58.846222	208.169998
58.027096	205.309998
57.519234	202.300003
56.929459	204.470001
57.027763	203.520004
56.110329	206.419998
55.602474	224.610001
56.118526	231.669998
56.76564	227.119995
56.274155	227.789993
55.905552	229.589996
55.528755	237.220001
55.250248	232.5
54.570377	236.889999
54.783344	235.600006
55.22567	239.059998
54.087086	240.059998
56.560856	239.720001
56.978611	229.429993
57.846893	229.25
57.805931	NA
57.86327	222.660004
56.110329	219.070007
56.143101	223.059998
55.889175	219.460007
56.536274	218.130005
57.199776	226.699997
57.846893	219.580002
58.985474	217.160004
58.125385	215.399994
57.429131	220.020004
56.59362	220.539993
56.814789	219.580002
57.298073	222.490005
57.666683	223.539993
56.872124	223.570007
56.929459	224.820007
54.291866	225.009995
52.350533	228.919998
51.089073	223.300003
49.303371	233.270004
50.622169	238.520004
50.065163	238.490005
48.557961	248.929993
47.501289	252.389999
47.632351	248.130005
48.140209	259.320007
47.386608	259.959991
47.402992	260.309998
47.943615	261.380005
47.132683	262.01001
48.320419	259.940002
48.902	256.76001
48.672642	255.710007
49.598259	254.339996
49.909527	256.779999
50.155266	262.549988
50.851528	261.73999
50.933441	263.25
50.278137	263.859985
48.803707	269.700012
47.312889	NA
48.164783	284.119995
49.17231	281.190002
50.016014	286.040009
51.334808	277.390015
50.966202	282.109985
49.540924	278.480011
49.180504	281.100006
49.262417	280.309998
48.820084	279.200012
48.328606	253.860001
47.919044	260.73999
48.041912	261.380005
48.828281	263.820007
48.689026	259.320007
48.435093	250.029999
47.558628	250.410004
48.017338	252.139999
48.172977	246.949997
48.279461	246.600006
48.254887	245.259995
46.977043	242.679993
45.854843	240.240005
44.495083	251.419998
45.1422	255.210007
45.019325	260.619995
45.191341	259.570007
44.757202	259.279999
44.7654	257.01001
43.569469	236.910004
43.561275	224.589996
44.323074	227.059998
42.553753	229.699997
42.905975	226.350006
44.617954	227.479996
44.364025	230.470001
45.289646	235.339996
45.772926	231.100006
45.527191	235.289993
45.174965	235.240005
44.39679	221.669998
45.215919	242.770004
45.535378	238.100006
46.862362	238.660004
48.517006	241.699997
48.205738	242.589996
48.557961	238.929993
48.664452	230.970001
49.475395	241.220001
48.312229	240.199997
49.090397	241.929993
48.377758	251.080002
48.017338	249.100006
47.927235	251.699997
48.574348	258.679993
48.435093	253.979996
49.565495	257.700012
49.573681	247.740005
49.786655	248.710007
51.121838	242.779999
